cycle,Writes,Reads,Hits,Misses,Was hit,Was miss,Writebacks,Access count
25,1,0,0,1,0,1,1,1
31,2,0,0,2,0,1,2,2
39,3,0,1,2,1,0,3,3
47,4,0,1,3,0,1,4,4
55,5,0,2,3,1,0,5,5
63,6,0,2,4,0,1,6,6
71,7,0,3,4,1,0,7,7
79,8,0,3,5,0,1,8,8
87,9,0,4,5,1,0,9,9
95,10,0,4,6,0,1,10,10
103,11,0,5,6,1,0,11,11
111,12,0,5,7,0,1,12,12
119,13,0,6,7,1,0,13,13
127,14,0,6,8,0,1,14,14
135,15,0,7,8,1,0,15,15
143,16,0,7,9,0,1,16,16
151,17,0,8,9,1,0,17,17
159,18,0,8,10,0,1,18,18
167,19,0,9,10,1,0,19,19
175,20,0,9,11,0,1,20,20
183,21,0,10,11,1,0,21,21
191,22,0,10,12,0,1,22,22
199,23,0,11,12,1,0,23,23
207,24,0,11,13,0,1,24,24
215,25,0,12,13,1,0,25,25
223,26,0,12,14,0,1,26,26
231,27,0,13,14,1,0,27,27
239,28,0,13,15,0,1,28,28
247,29,0,14,15,1,0,29,29
255,30,0,14,16,0,1,30,30
263,31,0,15,16,1,0,31,31
287,32,0,16,16,1,0,32,32
293,33,0,16,17,0,1,33,33
301,34,0,17,17,1,0,34,34
309,35,0,17,18,0,1,35,35
317,36,0,18,18,1,0,36,36
325,37,0,18,19,0,1,37,37
333,38,0,19,19,1,0,38,38
341,39,0,19,20,0,1,39,39
349,40,0,20,20,1,0,40,40
357,41,0,20,21,0,1,41,41
365,42,0,21,21,1,0,42,42
373,43,0,21,22,0,1,43,43
381,44,0,22,22,1,0,44,44
389,45,0,22,23,0,1,45,45
397,46,0,23,23,1,0,46,46
405,47,0,23,24,0,1,47,47
413,48,0,24,24,1,0,48,48
421,49,0,24,25,0,1,49,49
429,50,0,25,25,1,0,50,50
437,51,0,25,26,0,1,51,51
445,52,0,26,26,1,0,52,52
453,53,0,26,27,0,1,53,53
461,54,0,27,27,1,0,54,54
469,55,0,27,28,0,1,55,55
477,56,0,28,28,1,0,56,56
485,57,0,28,29,0,1,57,57
493,58,0,29,29,1,0,58,58
501,59,0,29,30,0,1,59,59
509,60,0,30,30,1,0,60,60
517,61,0,30,31,0,1,61,61
525,62,0,31,31,1,0,62,62
549,63,0,31,32,0,1,63,63
556,64,0,31,33,0,1,64,64
565,65,0,32,33,1,0,65,65
574,66,0,32,34,0,1,66,66
583,67,0,33,34,1,0,67,67
592,68,0,33,35,0,1,68,68
601,69,0,34,35,1,0,69,69
610,70,0,34,36,0,1,70,70
619,71,0,35,36,1,0,71,71
628,72,0,35,37,0,1,72,72
637,73,0,36,37,1,0,73,73
646,74,0,36,38,0,1,74,74
655,75,0,37,38,1,0,75,75
664,76,0,37,39,0,1,76,76
673,77,0,38,39,1,0,77,77
682,78,0,38,40,0,1,78,78
691,79,0,39,40,1,0,79,79
700,80,0,39,41,0,1,80,80
709,81,0,40,41,1,0,81,81
718,82,0,40,42,0,1,82,82
727,83,0,41,42,1,0,83,83
736,84,0,41,43,0,1,84,84
745,85,0,42,43,1,0,85,85
754,86,0,42,44,0,1,86,86
763,87,0,43,44,1,0,87,87
772,88,0,43,45,0,1,88,88
781,89,0,44,45,1,0,89,89
790,90,0,44,46,0,1,90,90
799,91,0,45,46,1,0,91,91
808,92,0,45,47,0,1,92,92
817,93,0,46,47,1,0,93,93
826,94,0,46,48,0,1,94,94
835,95,0,47,48,1,0,95,95
844,96,0,47,49,0,1,96,96
853,97,0,48,49,1,0,97,97
862,98,0,48,50,0,1,98,98
871,99,0,49,50,1,0,99,99
891,99,1,50,50,1,0,99,100
902,99,2,51,50,1,0,99,101
924,99,3,52,50,1,0,99,102
946,99,4,53,50,1,0,99,103
968,99,5,54,50,1,0,99,104
990,99,6,55,50,1,0,99,105
1016,99,7,56,50,1,0,99,106
1038,99,8,57,50,1,0,99,107
1060,99,9,58,50,1,0,99,108
1082,99,10,59,50,1,0,99,109
1104,99,11,60,50,1,0,99,110
1130,99,12,61,50,1,0,99,111
1152,99,13,62,50,1,0,99,112
1174,99,14,63,50,1,0,99,113
1196,99,15,64,50,1,0,99,114
1218,99,16,65,50,1,0,99,115
1244,99,17,66,50,1,0,99,116
1266,99,18,67,50,1,0,99,117
1288,99,19,68,50,1,0,99,118
1310,99,20,69,50,1,0,99,119
1332,99,21,70,50,1,0,99,120
1358,99,22,71,50,1,0,99,121
1380,99,23,72,50,1,0,99,122
1402,99,24,73,50,1,0,99,123
1424,99,25,74,50,1,0,99,124
1446,99,26,75,50,1,0,99,125
1472,99,27,76,50,1,0,99,126
1494,99,28,77,50,1,0,99,127
1516,99,29,78,50,1,0,99,128
1538,99,30,79,50,1,0,99,129
1560,99,31,80,50,1,0,99,130
1605,99,32,81,50,1,0,99,131
1616,99,33,82,50,1,0,99,132
1638,99,34,83,50,1,0,99,133
1660,99,35,84,50,1,0,99,134
1682,99,36,85,50,1,0,99,135
1704,99,37,86,50,1,0,99,136
1726,99,38,87,50,1,0,99,137
1752,99,39,88,50,1,0,99,138
1774,99,40,89,50,1,0,99,139
1796,99,41,90,50,1,0,99,140
1818,99,42,91,50,1,0,99,141
1840,99,43,92,50,1,0,99,142
1862,99,44,93,50,1,0,99,143
1888,99,45,94,50,1,0,99,144
1910,99,46,95,50,1,0,99,145
1932,99,47,96,50,1,0,99,146
1954,99,48,97,50,1,0,99,147
1976,99,49,98,50,1,0,99,148
1998,99,50,99,50,1,0,99,149
2024,99,51,100,50,1,0,99,150
2046,99,52,101,50,1,0,99,151
2068,99,53,102,50,1,0,99,152
2090,99,54,103,50,1,0,99,153
2112,99,55,104,50,1,0,99,154
2134,99,56,105,50,1,0,99,155
2160,99,57,106,50,1,0,99,156
2182,99,58,107,50,1,0,99,157
2204,99,59,108,50,1,0,99,158
2226,99,60,109,50,1,0,99,159
2248,99,61,110,50,1,0,99,160
2270,99,62,111,50,1,0,99,161
2315,99,63,112,50,1,0,99,162
2316,99,64,113,50,1,0,99,163
2317,99,65,114,50,1,0,99,164
2333,99,66,115,50,1,0,99,165
2338,99,67,116,50,1,0,99,166
2351,99,68,117,50,1,0,99,167
2356,99,69,118,50,1,0,99,168
2369,99,70,119,50,1,0,99,169
2374,99,71,120,50,1,0,99,170
2387,99,72,121,50,1,0,99,171
2392,99,73,122,50,1,0,99,172
2405,99,74,123,50,1,0,99,173
2410,99,75,124,50,1,0,99,174
2421,100,75,125,50,1,0,100,175
2435,100,76,126,50,1,0,100,176
2440,100,77,127,50,1,0,100,177
2453,100,78,128,50,1,0,100,178
2458,100,79,129,50,1,0,100,179
2471,100,80,130,50,1,0,100,180
2476,100,81,131,50,1,0,100,181
2489,100,82,132,50,1,0,100,182
2494,100,83,133,50,1,0,100,183
2507,100,84,134,50,1,0,100,184
2512,100,85,135,50,1,0,100,185
2523,101,85,136,50,1,0,101,186
2537,101,86,137,50,1,0,101,187
2542,101,87,138,50,1,0,101,188
2555,101,88,139,50,1,0,101,189
2560,101,89,140,50,1,0,101,190
2573,101,90,141,50,1,0,101,191
2578,101,91,142,50,1,0,101,192
2591,101,92,143,50,1,0,101,193
2596,101,93,144,50,1,0,101,194
2609,101,94,145,50,1,0,101,195
2614,101,95,146,50,1,0,101,196
2625,102,95,147,50,1,0,102,197
2639,102,96,148,50,1,0,102,198
2644,102,97,149,50,1,0,102,199
2657,102,98,150,50,1,0,102,200
2662,102,99,151,50,1,0,102,201
2675,102,100,152,50,1,0,102,202
2680,102,101,153,50,1,0,102,203
2693,102,102,154,50,1,0,102,204
2698,102,103,155,50,1,0,102,205
2711,102,104,156,50,1,0,102,206
2716,102,105,157,50,1,0,102,207
2727,103,105,158,50,1,0,103,208
2741,103,106,159,50,1,0,103,209
2746,103,107,160,50,1,0,103,210
2759,103,108,161,50,1,0,103,211
2764,103,109,162,50,1,0,103,212
2777,103,110,163,50,1,0,103,213
2782,103,111,164,50,1,0,103,214
2795,103,112,165,50,1,0,103,215
2800,103,113,166,50,1,0,103,216
2813,103,114,167,50,1,0,103,217
2818,103,115,168,50,1,0,103,218
2829,104,115,169,50,1,0,104,219
2843,104,116,170,50,1,0,104,220
2848,104,117,171,50,1,0,104,221
2861,104,118,172,50,1,0,104,222
2866,104,119,173,50,1,0,104,223
2879,104,120,174,50,1,0,104,224
2884,104,121,175,50,1,0,104,225
2897,104,122,176,50,1,0,104,226
2902,104,123,177,50,1,0,104,227
2915,104,124,178,50,1,0,104,228
2920,104,125,179,50,1,0,104,229
2931,105,125,180,50,1,0,105,230
2954,105,126,181,50,1,0,105,231
2959,105,127,182,50,1,0,105,232
2972,105,128,183,50,1,0,105,233
2977,105,129,184,50,1,0,105,234
2990,105,130,185,50,1,0,105,235
2995,105,131,186,50,1,0,105,236
3008,105,132,187,50,1,0,105,237
3013,105,133,188,50,1,0,105,238
3026,105,134,189,50,1,0,105,239
3031,105,135,190,50,1,0,105,240
3042,106,135,191,50,1,0,106,241
3056,106,136,192,50,1,0,106,242
3061,106,137,193,50,1,0,106,243
3074,106,138,194,50,1,0,106,244
3079,106,139,195,50,1,0,106,245
3092,106,140,196,50,1,0,106,246
3097,106,141,197,50,1,0,106,247
3110,106,142,198,50,1,0,106,248
3115,106,143,199,50,1,0,106,249
3128,106,144,200,50,1,0,106,250
3133,106,145,201,50,1,0,106,251
3144,107,145,202,50,1,0,107,252
3158,107,146,203,50,1,0,107,253
3163,107,147,204,50,1,0,107,254
3176,107,148,205,50,1,0,107,255
3181,107,149,206,50,1,0,107,256
3194,107,150,207,50,1,0,107,257
3199,107,151,208,50,1,0,107,258
3212,107,152,209,50,1,0,107,259
3217,107,153,210,50,1,0,107,260
3230,107,154,211,50,1,0,107,261
3235,107,155,212,50,1,0,107,262
3246,108,155,213,50,1,0,108,263
3260,108,156,214,50,1,0,108,264
3265,108,157,215,50,1,0,108,265
3278,108,158,216,50,1,0,108,266
3283,108,159,217,50,1,0,108,267
3296,108,160,218,50,1,0,108,268
3301,108,161,219,50,1,0,108,269
3314,108,162,220,50,1,0,108,270
3319,108,163,221,50,1,0,108,271
3332,108,164,222,50,1,0,108,272
3337,108,165,223,50,1,0,108,273
3348,109,165,224,50,1,0,109,274
3362,109,166,225,50,1,0,109,275
3367,109,167,226,50,1,0,109,276
3380,109,168,227,50,1,0,109,277
3385,109,169,228,50,1,0,109,278
3398,109,170,229,50,1,0,109,279
3403,109,171,230,50,1,0,109,280
3416,109,172,231,50,1,0,109,281
3421,109,173,232,50,1,0,109,282
3434,109,174,233,50,1,0,109,283
3439,109,175,234,50,1,0,109,284
3450,110,175,235,50,1,0,110,285
3464,110,176,236,50,1,0,110,286
3469,110,177,237,50,1,0,110,287
3482,110,178,238,50,1,0,110,288
3487,110,179,239,50,1,0,110,289
3500,110,180,240,50,1,0,110,290
3505,110,181,241,50,1,0,110,291
3518,110,182,242,50,1,0,110,292
3523,110,183,243,50,1,0,110,293
3536,110,184,244,50,1,0,110,294
3541,110,185,245,50,1,0,110,295
3552,111,185,246,50,1,0,111,296
3575,111,186,247,50,1,0,111,297
3580,111,187,248,50,1,0,111,298
3593,111,188,249,50,1,0,111,299
3598,111,189,250,50,1,0,111,300
3611,111,190,251,50,1,0,111,301
3616,111,191,252,50,1,0,111,302
3629,111,192,253,50,1,0,111,303
3634,111,193,254,50,1,0,111,304
3647,111,194,255,50,1,0,111,305
3652,111,195,256,50,1,0,111,306
3663,112,195,257,50,1,0,112,307
3677,112,196,258,50,1,0,112,308
3682,112,197,259,50,1,0,112,309
3695,112,198,260,50,1,0,112,310
3700,112,199,261,50,1,0,112,311
3713,112,200,262,50,1,0,112,312
3718,112,201,263,50,1,0,112,313
3731,112,202,264,50,1,0,112,314
3736,112,203,265,50,1,0,112,315
3749,112,204,266,50,1,0,112,316
3754,112,205,267,50,1,0,112,317
3765,113,205,268,50,1,0,113,318
3779,113,206,269,50,1,0,113,319
3784,113,207,270,50,1,0,113,320
3797,113,208,271,50,1,0,113,321
3802,113,209,272,50,1,0,113,322
3815,113,210,273,50,1,0,113,323
3820,113,211,274,50,1,0,113,324
3833,113,212,275,50,1,0,113,325
3838,113,213,276,50,1,0,113,326
3851,113,214,277,50,1,0,113,327
3856,113,215,278,50,1,0,113,328
3867,114,215,279,50,1,0,114,329
3881,114,216,280,50,1,0,114,330
3886,114,217,281,50,1,0,114,331
3899,114,218,282,50,1,0,114,332
3904,114,219,283,50,1,0,114,333
3917,114,220,284,50,1,0,114,334
3922,114,221,285,50,1,0,114,335
3935,114,222,286,50,1,0,114,336
3940,114,223,287,50,1,0,114,337
3953,114,224,288,50,1,0,114,338
3958,114,225,289,50,1,0,114,339
3969,115,225,290,50,1,0,115,340
3983,115,226,291,50,1,0,115,341
3988,115,227,292,50,1,0,115,342
4001,115,228,293,50,1,0,115,343
4006,115,229,294,50,1,0,115,344
4019,115,230,295,50,1,0,115,345
4024,115,231,296,50,1,0,115,346
4037,115,232,297,50,1,0,115,347
4042,115,233,298,50,1,0,115,348
4055,115,234,299,50,1,0,115,349
4060,115,235,300,50,1,0,115,350
4071,116,235,301,50,1,0,116,351
4085,116,236,302,50,1,0,116,352
4090,116,237,303,50,1,0,116,353
4103,116,238,304,50,1,0,116,354
4108,116,239,305,50,1,0,116,355
4121,116,240,306,50,1,0,116,356
4126,116,241,307,50,1,0,116,357
4139,116,242,308,50,1,0,116,358
4144,116,243,309,50,1,0,116,359
4157,116,244,310,50,1,0,116,360
4162,116,245,311,50,1,0,116,361
4173,117,245,312,50,1,0,117,362
4196,117,246,313,50,1,0,117,363
4201,117,247,314,50,1,0,117,364
4214,117,248,315,50,1,0,117,365
4219,117,249,316,50,1,0,117,366
4232,117,250,317,50,1,0,117,367
4237,117,251,318,50,1,0,117,368
4250,117,252,319,50,1,0,117,369
4255,117,253,320,50,1,0,117,370
4268,117,254,321,50,1,0,117,371
4273,117,255,322,50,1,0,117,372
4284,118,255,323,50,1,0,118,373
4298,118,256,324,50,1,0,118,374
4303,118,257,325,50,1,0,118,375
4316,118,258,326,50,1,0,118,376
4321,118,259,327,50,1,0,118,377
4334,118,260,328,50,1,0,118,378
4339,118,261,329,50,1,0,118,379
4352,118,262,330,50,1,0,118,380
4357,118,263,331,50,1,0,118,381
4370,118,264,332,50,1,0,118,382
4375,118,265,333,50,1,0,118,383
4386,119,265,334,50,1,0,119,384
4400,119,266,335,50,1,0,119,385
4405,119,267,336,50,1,0,119,386
4418,119,268,337,50,1,0,119,387
4423,119,269,338,50,1,0,119,388
4436,119,270,339,50,1,0,119,389
4441,119,271,340,50,1,0,119,390
4454,119,272,341,50,1,0,119,391
4459,119,273,342,50,1,0,119,392
4472,119,274,343,50,1,0,119,393
4477,119,275,344,50,1,0,119,394
4488,120,275,345,50,1,0,120,395
4502,120,276,346,50,1,0,120,396
4507,120,277,347,50,1,0,120,397
4520,120,278,348,50,1,0,120,398
4525,120,279,349,50,1,0,120,399
4538,120,280,350,50,1,0,120,400
4543,120,281,351,50,1,0,120,401
4556,120,282,352,50,1,0,120,402
4561,120,283,353,50,1,0,120,403
4574,120,284,354,50,1,0,120,404
4579,120,285,355,50,1,0,120,405
4590,121,285,356,50,1,0,121,406
4604,121,286,357,50,1,0,121,407
4609,121,287,358,50,1,0,121,408
4622,121,288,359,50,1,0,121,409
4627,121,289,360,50,1,0,121,410
4640,121,290,361,50,1,0,121,411
4645,121,291,362,50,1,0,121,412
4658,121,292,363,50,1,0,121,413
4663,121,293,364,50,1,0,121,414
4676,121,294,365,50,1,0,121,415
4681,121,295,366,50,1,0,121,416
4692,122,295,367,50,1,0,122,417
4706,122,296,368,50,1,0,122,418
4711,122,297,369,50,1,0,122,419
4724,122,298,370,50,1,0,122,420
4729,122,299,371,50,1,0,122,421
4742,122,300,372,50,1,0,122,422
4747,122,301,373,50,1,0,122,423
4760,122,302,374,50,1,0,122,424
