cycle,Writes,Reads,Hits,Misses,Was hit,Was miss,Writebacks,Access count
25,1,0,0,1,0,1,1,1
31,2,0,0,2,0,1,2,2
39,3,0,1,2,1,0,3,3
47,4,0,1,3,0,1,4,4
55,5,0,2,3,1,0,5,5
63,6,0,2,4,0,1,6,6
71,7,0,3,4,1,0,7,7
79,8,0,3,5,0,1,8,8
87,9,0,4,5,1,0,9,9
95,10,0,4,6,0,1,10,10
103,11,0,5,6,1,0,11,11
111,12,0,5,7,0,1,12,12
119,13,0,6,7,1,0,13,13
127,14,0,6,8,0,1,14,14
135,15,0,7,8,1,0,15,15
143,16,0,7,9,0,1,16,16
151,17,0,8,9,1,0,17,17
159,18,0,8,10,0,1,18,18
167,19,0,9,10,1,0,19,19
175,20,0,9,11,0,1,20,20
183,21,0,10,11,1,0,21,21
191,22,0,10,12,0,1,22,22
199,23,0,11,12,1,0,23,23
207,24,0,11,13,0,1,24,24
215,25,0,12,13,1,0,25,25
223,26,0,12,14,0,1,26,26
231,27,0,13,14,1,0,27,27
239,28,0,13,15,0,1,28,28
247,29,0,14,15,1,0,29,29
255,30,0,14,16,0,1,30,30
263,31,0,15,16,1,0,31,31
287,32,0,15,17,0,1,32,32
293,33,0,15,18,0,1,33,33
301,34,0,16,18,1,0,34,34
309,35,0,16,19,0,1,35,35
317,36,0,17,19,1,0,36,36
325,37,0,17,20,0,1,37,37
333,38,0,18,20,1,0,38,38
341,39,0,18,21,0,1,39,39
349,40,0,19,21,1,0,40,40
357,41,0,19,22,0,1,41,41
365,42,0,20,22,1,0,42,42
373,43,0,20,23,0,1,43,43
381,44,0,21,23,1,0,44,44
389,45,0,21,24,0,1,45,45
397,46,0,22,24,1,0,46,46
405,47,0,22,25,0,1,47,47
413,48,0,23,25,1,0,48,48
421,49,0,23,26,0,1,49,49
429,50,0,24,26,1,0,50,50
437,51,0,24,27,0,1,51,51
445,52,0,25,27,1,0,52,52
453,53,0,25,28,0,1,53,53
461,54,0,26,28,1,0,54,54
469,55,0,26,29,0,1,55,55
477,56,0,27,29,1,0,56,56
485,57,0,27,30,0,1,57,57
493,58,0,28,30,1,0,58,58
501,59,0,28,31,0,1,59,59
509,60,0,29,31,1,0,60,60
517,61,0,29,32,0,1,61,61
525,62,0,30,32,1,0,62,62
549,63,0,30,33,0,1,63,63
556,64,0,30,34,0,1,64,64
565,65,0,31,34,1,0,65,65
574,66,0,31,35,0,1,66,66
583,67,0,32,35,1,0,67,67
592,68,0,32,36,0,1,68,68
601,69,0,33,36,1,0,69,69
610,70,0,33,37,0,1,70,70
619,71,0,34,37,1,0,71,71
628,72,0,34,38,0,1,72,72
637,73,0,35,38,1,0,73,73
646,74,0,35,39,0,1,74,74
655,75,0,36,39,1,0,75,75
664,76,0,36,40,0,1,76,76
673,77,0,37,40,1,0,77,77
682,78,0,37,41,0,1,78,78
691,79,0,38,41,1,0,79,79
700,80,0,38,42,0,1,80,80
709,81,0,39,42,1,0,81,81
718,82,0,39,43,0,1,82,82
727,83,0,40,43,1,0,83,83
736,84,0,40,44,0,1,84,84
745,85,0,41,44,1,0,85,85
754,86,0,41,45,0,1,86,86
763,87,0,42,45,1,0,87,87
772,88,0,42,46,0,1,88,88
781,89,0,43,46,1,0,89,89
790,90,0,43,47,0,1,90,90
799,91,0,44,47,1,0,91,91
808,92,0,44,48,0,1,92,92
817,93,0,45,48,1,0,93,93
826,94,0,45,49,0,1,94,94
835,95,0,46,49,1,0,95,95
844,96,0,46,50,0,1,96,96
853,97,0,47,50,1,0,97,97
862,98,0,47,51,0,1,98,98
871,99,0,48,51,1,0,99,99
891,99,1,48,52,0,1,99,100
902,99,2,48,53,0,1,99,101
924,99,3,49,53,1,0,99,102
946,99,4,49,54,0,1,99,103
968,99,5,50,54,1,0,99,104
990,99,6,50,55,0,1,99,105
1016,99,7,51,55,1,0,99,106
1038,99,8,51,56,0,1,99,107
1060,99,9,52,56,1,0,99,108
1082,99,10,52,57,0,1,99,109
1104,99,11,53,57,1,0,99,110
1130,99,12,53,58,0,1,99,111
1152,99,13,54,58,1,0,99,112
1174,99,14,54,59,0,1,99,113
1196,99,15,55,59,1,0,99,114
1218,99,16,55,60,0,1,99,115
1244,99,17,56,60,1,0,99,116
1266,99,18,56,61,0,1,99,117
1288,99,19,57,61,1,0,99,118
1310,99,20,57,62,0,1,99,119
1332,99,21,58,62,1,0,99,120
1358,99,22,58,63,0,1,99,121
1380,99,23,59,63,1,0,99,122
1402,99,24,59,64,0,1,99,123
1424,99,25,60,64,1,0,99,124
1446,99,26,60,65,0,1,99,125
1472,99,27,61,65,1,0,99,126
1494,99,28,61,66,0,1,99,127
1516,99,29,62,66,1,0,99,128
1538,99,30,62,67,0,1,99,129
1560,99,31,63,67,1,0,99,130
1605,99,32,63,68,0,1,99,131
1616,99,33,63,69,0,1,99,132
1638,99,34,64,69,1,0,99,133
1660,99,35,64,70,0,1,99,134
1682,99,36,65,70,1,0,99,135
1704,99,37,65,71,0,1,99,136
1726,99,38,66,71,1,0,99,137
1752,99,39,66,72,0,1,99,138
1774,99,40,67,72,1,0,99,139
1796,99,41,67,73,0,1,99,140
1818,99,42,68,73,1,0,99,141
1840,99,43,68,74,0,1,99,142
1862,99,44,69,74,1,0,99,143
1888,99,45,69,75,0,1,99,144
1910,99,46,70,75,1,0,99,145
1932,99,47,70,76,0,1,99,146
1954,99,48,71,76,1,0,99,147
1976,99,49,71,77,0,1,99,148
1998,99,50,72,77,1,0,99,149
2024,99,51,72,78,0,1,99,150
2046,99,52,73,78,1,0,99,151
2068,99,53,73,79,0,1,99,152
2090,99,54,74,79,1,0,99,153
2112,99,55,74,80,0,1,99,154
2134,99,56,75,80,1,0,99,155
2160,99,57,75,81,0,1,99,156
2182,99,58,76,81,1,0,99,157
2204,99,59,76,82,0,1,99,158
2226,99,60,77,82,1,0,99,159
2248,99,61,77,83,0,1,99,160
2270,99,62,78,83,1,0,99,161
2315,99,63,78,84,0,1,99,162
2316,99,64,79,84,1,0,99,163
2317,99,65,79,85,0,1,99,164
2333,99,66,79,86,0,1,99,165
2338,99,67,79,87,0,1,99,166
2351,99,68,80,87,1,0,99,167
2356,99,69,81,87,1,0,99,168
2369,99,70,81,88,0,1,99,169
2374,99,71,82,88,1,0,99,170
2387,99,72,83,88,1,0,99,171
2392,99,73,84,88,1,0,99,172
2405,99,74,84,89,0,1,99,173
2410,99,75,85,89,1,0,99,174
2421,100,75,85,90,0,1,100,175
2435,100,76,86,90,1,0,100,176
2440,100,77,87,90,1,0,100,177
2453,100,78,88,90,1,0,100,178
2458,100,79,89,90,1,0,100,179
2471,100,80,90,90,1,0,100,180
2476,100,81,91,90,1,0,100,181
2489,100,82,92,90,1,0,100,182
2494,100,83,93,90,1,0,100,183
2507,100,84,94,90,1,0,100,184
2512,100,85,95,90,1,0,100,185
2523,101,85,96,90,1,0,101,186
2537,101,86,97,90,1,0,101,187
2542,101,87,97,91,0,1,101,188
2555,101,88,98,91,1,0,101,189
2560,101,89,98,92,0,1,101,190
2573,101,90,99,92,1,0,101,191
2578,101,91,100,92,1,0,101,192
2591,101,92,101,92,1,0,101,193
2596,101,93,102,92,1,0,101,194
2609,101,94,103,92,1,0,101,195
2614,101,95,103,93,0,1,101,196
2625,102,95,103,94,0,1,102,197
2639,102,96,104,94,1,0,102,198
2644,102,97,105,94,1,0,102,199
2657,102,98,106,94,1,0,102,200
2662,102,99,107,94,1,0,102,201
2675,102,100,108,94,1,0,102,202
2680,102,101,109,94,1,0,102,203
2693,102,102,110,94,1,0,102,204
2698,102,103,111,94,1,0,102,205
2711,102,104,112,94,1,0,102,206
2716,102,105,113,94,1,0,102,207
2727,103,105,114,94,1,0,103,208
2741,103,106,115,94,1,0,103,209
2746,103,107,115,95,0,1,103,210
2759,103,108,116,95,1,0,103,211
2764,103,109,116,96,0,1,103,212
2777,103,110,117,96,1,0,103,213
2782,103,111,117,97,0,1,103,214
2795,103,112,118,97,1,0,103,215
2800,103,113,118,98,0,1,103,216
2813,103,114,119,98,1,0,103,217
2818,103,115,119,99,0,1,103,218
2829,104,115,119,100,0,1,104,219
2843,104,116,120,100,1,0,104,220
2848,104,117,121,100,1,0,104,221
2861,104,118,122,100,1,0,104,222
2866,104,119,123,100,1,0,104,223
2879,104,120,124,100,1,0,104,224
2884,104,121,125,100,1,0,104,225
2897,104,122,126,100,1,0,104,226
2902,104,123,127,100,1,0,104,227
2915,104,124,128,100,1,0,104,228
2920,104,125,129,100,1,0,104,229
2931,105,125,130,100,1,0,105,230
2954,105,126,131,100,1,0,105,231
2959,105,127,131,101,0,1,105,232
2972,105,128,131,102,0,1,105,233
2977,105,129,131,103,0,1,105,234
2990,105,130,132,103,1,0,105,235
2995,105,131,132,104,0,1,105,236
3008,105,132,132,105,0,1,105,237
3013,105,133,132,106,0,1,105,238
3026,105,134,133,106,1,0,105,239
3031,105,135,133,107,0,1,105,240
3042,106,135,133,108,0,1,106,241
3056,106,136,134,108,1,0,106,242
3061,106,137,135,108,1,0,106,243
3074,106,138,136,108,1,0,106,244
3079,106,139,137,108,1,0,106,245
3092,106,140,138,108,1,0,106,246
3097,106,141,139,108,1,0,106,247
3110,106,142,140,108,1,0,106,248
3115,106,143,141,108,1,0,106,249
3128,106,144,142,108,1,0,106,250
3133,106,145,143,108,1,0,106,251
3144,107,145,144,108,1,0,107,252
3158,107,146,145,108,1,0,107,253
3163,107,147,145,109,0,1,107,254
3176,107,148,146,109,1,0,107,255
3181,107,149,146,110,0,1,107,256
3194,107,150,147,110,1,0,107,257
3199,107,151,147,111,0,1,107,258
3212,107,152,148,111,1,0,107,259
3217,107,153,148,112,0,1,107,260
3230,107,154,149,112,1,0,107,261
3235,107,155,149,113,0,1,107,262
3246,108,155,149,114,0,1,108,263
3260,108,156,150,114,1,0,108,264
3265,108,157,151,114,1,0,108,265
3278,108,158,152,114,1,0,108,266
3283,108,159,153,114,1,0,108,267
3296,108,160,154,114,1,0,108,268
3301,108,161,155,114,1,0,108,269
3314,108,162,156,114,1,0,108,270
3319,108,163,157,114,1,0,108,271
3332,108,164,158,114,1,0,108,272
3337,108,165,159,114,1,0,108,273
3348,109,165,160,114,1,0,109,274
3362,109,166,161,114,1,0,109,275
3367,109,167,161,115,0,1,109,276
3380,109,168,162,115,1,0,109,277
3385,109,169,162,116,0,1,109,278
3398,109,170,163,116,1,0,109,279
3403,109,171,163,117,0,1,109,280
3416,109,172,164,117,1,0,109,281
3421,109,173,165,117,1,0,109,282
3434,109,174,166,117,1,0,109,283
3439,109,175,166,118,0,1,109,284
3450,110,175,166,119,0,1,110,285
3464,110,176,167,119,1,0,110,286
3469,110,177,168,119,1,0,110,287
3482,110,178,169,119,1,0,110,288
3487,110,179,170,119,1,0,110,289
3500,110,180,171,119,1,0,110,290
3505,110,181,172,119,1,0,110,291
3518,110,182,173,119,1,0,110,292
3523,110,183,174,119,1,0,110,293
3536,110,184,175,119,1,0,110,294
3541,110,185,176,119,1,0,110,295
3552,111,185,177,119,1,0,111,296
3575,111,186,177,120,0,1,111,297
3580,111,187,177,121,0,1,111,298
3593,111,188,178,121,1,0,111,299
3598,111,189,178,122,0,1,111,300
3611,111,190,178,123,0,1,111,301
3616,111,191,178,124,0,1,111,302
3629,111,192,179,124,1,0,111,303
3634,111,193,179,125,0,1,111,304
3647,111,194,179,126,0,1,111,305
3652,111,195,179,127,0,1,111,306
3663,112,195,179,128,0,1,112,307
3677,112,196,180,128,1,0,112,308
3682,112,197,181,128,1,0,112,309
3695,112,198,182,128,1,0,112,310
3700,112,199,183,128,1,0,112,311
3713,112,200,184,128,1,0,112,312
3718,112,201,185,128,1,0,112,313
3731,112,202,186,128,1,0,112,314
3736,112,203,187,128,1,0,112,315
3749,112,204,188,128,1,0,112,316
3754,112,205,189,128,1,0,112,317
3765,113,205,190,128,1,0,113,318
3779,113,206,191,128,1,0,113,319
3784,113,207,191,129,0,1,113,320
3797,113,208,192,129,1,0,113,321
3802,113,209,192,130,0,1,113,322
3815,113,210,193,130,1,0,113,323
3820,113,211,193,131,0,1,113,324
3833,113,212,194,131,1,0,113,325
3838,113,213,194,132,0,1,113,326
3851,113,214,195,132,1,0,113,327
3856,113,215,195,133,0,1,113,328
3867,114,215,195,134,0,1,114,329
3881,114,216,196,134,1,0,114,330
3886,114,217,197,134,1,0,114,331
3899,114,218,198,134,1,0,114,332
3904,114,219,199,134,1,0,114,333
3917,114,220,200,134,1,0,114,334
3922,114,221,201,134,1,0,114,335
3935,114,222,202,134,1,0,114,336
3940,114,223,203,134,1,0,114,337
3953,114,224,204,134,1,0,114,338
3958,114,225,205,134,1,0,114,339
3969,115,225,206,134,1,0,115,340
3983,115,226,207,134,1,0,115,341
3988,115,227,207,135,0,1,115,342
4001,115,228,208,135,1,0,115,343
4006,115,229,208,136,0,1,115,344
4019,115,230,209,136,1,0,115,345
4024,115,231,209,137,0,1,115,346
4037,115,232,210,137,1,0,115,347
4042,115,233,210,138,0,1,115,348
4055,115,234,211,138,1,0,115,349
4060,115,235,211,139,0,1,115,350
4071,116,235,211,140,0,1,116,351
4085,116,236,212,140,1,0,116,352
4090,116,237,213,140,1,0,116,353
4103,116,238,214,140,1,0,116,354
4108,116,239,215,140,1,0,116,355
4121,116,240,216,140,1,0,116,356
4126,116,241,217,140,1,0,116,357
4139,116,242,218,140,1,0,116,358
4144,116,243,219,140,1,0,116,359
4157,116,244,220,140,1,0,116,360
4162,116,245,221,140,1,0,116,361
4173,117,245,222,140,1,0,117,362
4196,117,246,223,140,1,0,117,363
4201,117,247,223,141,0,1,117,364
4214,117,248,223,142,0,1,117,365
4219,117,249,224,142,1,0,117,366
4232,117,250,225,142,1,0,117,367
4237,117,251,225,143,0,1,117,368
4250,117,252,225,144,0,1,117,369
4255,117,253,225,145,0,1,117,370
4268,117,254,226,145,1,0,117,371
4273,117,255,226,146,0,1,117,372
4284,118,255,226,147,0,1,118,373
4298,118,256,227,147,1,0,118,374
4303,118,257,228,147,1,0,118,375
4316,118,258,229,147,1,0,118,376
4321,118,259,230,147,1,0,118,377
4334,118,260,231,147,1,0,118,378
4339,118,261,232,147,1,0,118,379
4352,118,262,233,147,1,0,118,380
4357,118,263,234,147,1,0,118,381
4370,118,264,235,147,1,0,118,382
4375,118,265,236,147,1,0,118,383
4386,119,265,237,147,1,0,119,384
4400,119,266,238,147,1,0,119,385
4405,119,267,238,148,0,1,119,386
4418,119,268,239,148,1,0,119,387
4423,119,269,239,149,0,1,119,388
4436,119,270,240,149,1,0,119,389
4441,119,271,240,150,0,1,119,390
4454,119,272,241,150,1,0,119,391
4459,119,273,241,151,0,1,119,392
4472,119,274,242,151,1,0,119,393
4477,119,275,242,152,0,1,119,394
4488,120,275,242,153,0,1,120,395
4502,120,276,243,153,1,0,120,396
4507,120,277,244,153,1,0,120,397
4520,120,278,245,153,1,0,120,398
4525,120,279,246,153,1,0,120,399
4538,120,280,247,153,1,0,120,400
4543,120,281,248,153,1,0,120,401
4556,120,282,249,153,1,0,120,402
4561,120,283,250,153,1,0,120,403
4574,120,284,251,153,1,0,120,404
4579,120,285,252,153,1,0,120,405
4590,121,285,253,153,1,0,121,406
4604,121,286,254,153,1,0,121,407
4609,121,287,254,154,0,1,121,408
4622,121,288,255,154,1,0,121,409
4627,121,289,255,155,0,1,121,410
4640,121,290,256,155,1,0,121,411
4645,121,291,256,156,0,1,121,412
4658,121,292,257,156,1,0,121,413
4663,121,293,257,157,0,1,121,414
4676,121,294,258,157,1,0,121,415
4681,121,295,258,158,0,1,121,416
4692,122,295,258,159,0,1,122,417
4706,122,296,259,159,1,0,122,418
4711,122,297,260,159,1,0,122,419
4724,122,298,261,159,1,0,122,420
4729,122,299,262,159,1,0,122,421
4742,122,300,263,159,1,0,122,422
4747,122,301,264,159,1,0,122,423
4760,122,302,265,159,1,0,122,424
